X,Y,OBJECTID,COLLISION_SK,CASE_FILE_NUMBER,ACCIDENT_DATE,WGS84_LAT_COORD,WGS84_LON_COORD,ROAD_LOCATION_1,ROAD_LOCATION_2,ROAD_CONFIGURATION,COLLISION_CONFIGURATION,NON_FATAL_INJURY,FATAL_INJURY,YOUNG_DEMOGRAPHIC,PEDESTRIAN_COLLISIONS,AGRESSIVE_DRIVING,DISTRACTED_DRIVING,IMPAIRED_DRIVING,BICYCLE_COLLISIONS,INTERSECTION_RELATED
-63.54762017,44.65398952,1,41457,148708,2021/11/30 03:59:59+00,44.65398025,-63.54762217,325 PLEASANT ST,,Non-intersection,,Yes,,N,N,N,N,N,N,N
-63.60723492,44.70804477,2,41478,148746,2021/11/30 03:59:59+00,44.70803549,-63.6072369,AKERLEY BLVD,FIELDING AVE,Intersection - two or more public roads,Multiple vehicle - left turn across opposing traffic,,,N,N,N,N,N,N,Y
-63.57935055,44.67659117,3,41659,148557,2021/11/30 03:59:59+00,44.67658189,-63.57935254,VANESSA DR,VICTORIA RD,Intersection - two or more public roads,Single vehicle - hit a moving or stationary object on road surface,Yes,,N,Y,Y,N,N,N,Y
-63.5914833,44.64633473,4,41459,148733,2021/11/30 03:59:59+00,44.64632546,-63.59148529,6049 PEPPERELL ST,,Intersection - private road or access,Single vehicle - hit a moving or stationary object on road surface,,,N,N,N,N,N,N,Y
-63.68247139,44.69173971,5,41479,148780,2021/11/30 03:59:59+00,44.69173044,-63.68247335,9 HIGHWAY 102,,Non-intersection,Multiple vehicle - rear end,,,N,N,N,N,N,N,N
-63.50726914,44.67949977,6,41635,148497,2021/11/30 03:59:59+00,44.6794905,-63.50727115,17 CARLSON CRT,,Non-intersection,Multiple vehicle - head on,,,Y,N,Y,N,Y,N,N
-63.60366483,44.64144566,7,41978,148815,2021/11/30 03:59:59+00,44.64143639,-63.60366681,CONNAUGHT AVE,NORWOOD ST,Intersection - two or more public roads,Multiple vehicle - left turn into traffic,,,N,N,Y,N,N,N,Y
-63.6904482,44.78201222,8,41435,148814,2021/11/30 03:59:59+00,44.78200293,-63.69045016,GLENDALE DR,OLD BEAVER BANK RD,Non-intersection,Multiple vehicle - approaching sideswipe,,,Y,N,Y,N,N,N,N
-63.77493918,44.73417204,9,41712,152914,2021/11/30 03:59:59+00,44.73416276,-63.77494112,1909 HAMMONDS PLAINS RD,,Non-intersection,Multiple vehicle - right angle,,,N,N,N,N,N,N,N
-63.60213193,44.68706018,10,41456,148674,2021/11/30 03:59:59+00,44.68705091,-63.60213391,HWY 111 EXIT RAMP 7,PORTLAND ST,Ramp,Multiple vehicle - rear end,,,Y,N,N,N,N,N,N
-63.60906386,44.80411668,11,41405,148560,2021/11/30 03:59:59+00,44.80410738,-63.60906583,HIGHWAY 102,"HIGH WAY 102, EXIT 5 FALL RIVER",Non-intersection,Single vehicle - off road to the right,Yes,,N,N,Y,N,N,N,N
-63.54237666,44.68003163,12,41460,148799,2021/11/30 03:59:59+00,44.68002235,-63.54237866,HIGHWAY 111 EB EXIT 6 ON RAMP,HIGHWAY 111,Non-intersection,Multiple vehicle - rear end,,,N,N,N,N,N,N,N
-63.49661288,44.69641714,13,41718,148770,2021/11/30 03:59:59+00,44.69640786,-63.4966149,667 HIGHWAY 7,,Non-intersection,Multiple vehicle - left turn across opposing traffic,Yes,,Y,N,Y,N,N,N,N
-63.62634984,44.71059723,14,41670,151489,2021/11/30 03:59:59+00,44.71058796,-63.62635182,1236 WINDMILL RD,,Non-intersection,Multiple vehicle - rear end,,,N,N,N,N,N,N,N
-63.5643032,44.68619108,15,41721,152391,2021/11/30 03:59:59+00,44.6861818,-63.56430519,1020 MICMAC BLVD,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.57872633,44.6519006,16,41940,148597,2021/11/30 03:59:59+00,44.65189133,-63.57872832,2021 BRUNSWICK ST,,Intersection - two or more public roads,Multiple vehicle - left turn across opposing traffic,,,N,Y,N,N,N,N,Y
-63.53776924,44.67027677,17,41452,148350,2021/11/29 03:59:59+00,44.6702675,-63.53777124,PORTLAND ST,On Ramp SB to Highway 111,Non-intersection,Multiple vehicle - same direction sideswipe,,,N,N,N,N,N,N,N
-63.66644936,44.68124749,18,41477,148225,2021/11/29 03:59:59+00,44.68123822,-63.66645133,KEARNEY LAKE RD,DUNBRACK ST,Intersection - two or more public roads,Multiple vehicle - rear end,,,N,N,N,N,N,N,Y
-63.56515221,44.84854323,19,41403,148237,2021/11/29 03:59:59+00,44.84853392,-63.5651542,31 HIGHWAY 102,,Non-intersection,Multiple vehicle - same direction sideswipe,,,N,N,Y,N,N,N,N
-63.5774109,44.64134735,20,42026,149592,2021/11/29 03:59:59+00,44.64133808,-63.57741289,5540 CLYDE ST,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.4945492,44.68825191,21,41660,148729,2021/11/29 03:59:59+00,44.68824263,-63.49455122,261 FLYING CLOUD DR,,Non-intersection,Multiple vehicle - rear end,,,N,N,Y,Y,N,N,N
-63.62224242,44.66067426,22,41431,148243,2021/11/29 03:59:59+00,44.66066499,-63.6222444,3720 WINDSOR ST,,Intersection - two or more public roads,Multiple vehicle - rear end,,,Y,N,N,N,N,N,Y
-63.49489888,44.66262045,23,41582,148298,2021/11/29 03:59:59+00,44.66261118,-63.49490089,237 CALDWELL RD,Cherrywood Dr,Intersection - two or more public roads,Multiple vehicle - right angle,Yes,,Y,N,Y,N,N,N,Y
-63.61149423,44.7037279,24,41430,148105,2021/11/29 03:59:59+00,44.70371862,-63.61149621,AKERLEY BLVD,WINDMILL RD,Non-intersection,Multiple vehicle - rear end,Yes,,N,N,N,N,N,N,N
-63.63423984,44.66315596,25,41453,148369,2021/11/29 03:59:59+00,44.66314669,-63.63424182,30 BEDFORD HWY,,Non-intersection,Single vehicle - hit a moving or stationary object on road surface,,,N,N,N,N,N,N,N
-63.54060407,44.68073322,26,41432,148256,2021/11/29 03:59:59+00,44.68072395,-63.54060607,TACOMA DR,GORDON AVE,Intersection - two or more public roads,Multiple vehicle - rear end,,,N,N,N,N,N,N,Y
-63.58534967,44.65337026,27,41634,148320,2021/11/29 03:59:59+00,44.65336099,-63.58535166,GOTTINGEN ST,CUNARD ST,Intersection - two or more public roads,"Multiple vehicle - right turn, including turning conflicts",,,N,N,Y,N,N,N,Y
-63.57459652,44.66791882,28,41434,148346,2021/11/29 03:59:59+00,44.66790956,-63.57459851,WYSE RD,WINDMILL RD,Intersection - two or more public roads,Multiple vehicle - one crossing path of other to the left,,,N,N,Y,N,N,N,Y
-63.67329109,44.66622731,29,41583,148353,2021/11/29 03:59:59+00,44.66621804,-63.67329306,PARKLAND DR,CARRINGTON PL,Intersection - two or more public roads,Multiple vehicle - left turn across opposing traffic,Yes,,N,Y,Y,N,N,N,Y
-63.70166979,44.71078046,30,41454,148380,2021/11/29 03:59:59+00,44.71077119,-63.70167175,505 BROAD ST,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.68951634,44.72280963,31,41433,148341,2021/11/29 03:59:59+00,44.72280036,-63.6895183,HAMMONDS PLAINS RD,HIGHWAY 102 SB EXIT 3 OFF RAMP,Ramp,Multiple vehicle - rear end,,,N,N,N,N,N,N,N
-63.57495629,44.63666943,32,41636,149676,2021/11/28 03:59:59+00,44.63666017,-63.57495828,1095 LUCKNOW ST,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.57775744,44.63814971,33,42024,149162,2021/11/28 03:59:59+00,44.63814044,-63.57775943,SOUTH ST,SOUTH PARK ST,Intersection - two or more public roads,Multiple vehicle - rear end,Yes,,Y,N,N,Y,N,N,Y
-63.59504444,44.64928705,34,41912,148726,2021/11/28 03:59:59+00,44.64927778,-63.59504642,6125 LAWRENCE ST,,Intersection - two or more public roads,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,Y
-63.57035572,44.68699823,35,41377,147857,2021/11/28 03:59:59+00,44.68698896,-63.57035771,10 LANCASTER DR,,Non-intersection,Multiple vehicle - one crossing path of other to the left,,,N,N,Y,N,N,N,N
-63.79087636,44.67659155,36,41362,147706,2021/11/28 03:59:59+00,44.67658228,-63.79087829,HIGHWAY 103,HIGHWAY 103 WB EXIT 4 ON RAMP,Non-intersection,Single vehicle - off road to the left,,,N,N,N,N,N,N,N
-63.22200577,45.05128975,37,41373,147707,2021/11/28 03:59:59+00,45.05128041,-63.22200786,2763 WITTENBURG RD,,Non-intersection,Single vehicle - hit a moving or stationary object on road surface,,,N,N,N,N,N,N,N
-63.54134099,44.68127887,38,41376,147831,2021/11/28 03:59:59+00,44.6812696,-63.54134299,106 MAIN ST,,Non-intersection,Multiple vehicle - same direction sideswipe,,,Y,N,Y,N,N,N,N
-63.57620441,44.64557561,39,41551,147211,2021/11/27 03:59:59+00,44.64556634,-63.5762064,BRUNSWICK ST,SACKVILLE ST,Intersection - two or more public roads,,Yes,,Y,Y,Y,N,N,N,Y
-63.61149423,44.7037279,40,41497,147891,2021/11/27 03:59:59+00,44.70371862,-63.61149621,AKERLEY BLVD,WINDMILL RD,Non-intersection,Multiple vehicle - hit parked vehicle,Yes,,N,N,Y,N,N,N,N
-63.59864838,44.66249284,41,41425,147375,2021/11/27 03:59:59+00,44.66248357,-63.59865036,GOTTINGEN ST,YOUNG ST,Intersection - two or more public roads,Multiple vehicle - approaching sideswipe,,,N,N,Y,N,N,N,Y
-63.61183191,44.70342901,42,41401,147244,2021/11/27 03:59:59+00,44.70341974,-63.61183388,WINDMILL RD,AKERLEY BLVD,Non-intersection,Single vehicle - off road to the left,,,Y,N,N,N,N,N,N
-63.58902294,44.70723091,43,41428,147487,2021/11/27 03:59:59+00,44.70722163,-63.58902493,WRIGHT AVE,BURNSIDE DR,Intersection - two or more public roads,Multiple vehicle - one crossing path of other to the left,,,Y,N,Y,N,N,N,Y
-63.68062443,44.70860322,44,41811,147475,2021/11/27 03:59:59+00,44.70859394,-63.68062639,OCEANVIEW DR,ROYAL MASTS WAY,Intersection - two or more public roads,Multiple vehicle - approaching sideswipe,,,N,N,Y,N,N,N,Y
-63.61831285,44.61373859,45,41427,147434,2021/11/27 03:59:59+00,44.61372933,-63.61831483,6 LANARK ST,,Non-intersection,Multiple vehicle - one crossing path of other to the left,,,N,N,N,N,N,N,N
-63.85974496,44.70077846,46,41360,147328,2021/11/27 03:59:59+00,44.70076919,-63.85974688,HIGHWAY 103 EB ,HAMMONDS PLAINS RD,Non-intersection,Single vehicle - hit a moving or stationary object on road surface,,,N,N,N,N,N,N,N
-63.6002922,44.64454228,47,41426,147405,2021/11/27 03:59:59+00,44.64453302,-63.60029418,QUINPOOL RD,OXFORD ST,Intersection - two or more public roads,Multiple vehicle - rear end,,,Y,N,N,N,N,N,Y
-63.54059223,44.68217366,48,41371,147300,2021/11/27 03:59:59+00,44.68216439,-63.54059423,107 MAIN ST,,Non-intersection,Multiple vehicle - rear end,,,Y,N,Y,N,N,N,N
-63.5765395,44.64885082,49,41372,147435,2021/11/27 03:59:59+00,44.64884155,-63.57654149,5261 DUKE ST,,Non-intersection,Single vehicle - hit a moving or stationary object on road surface,,,N,N,N,N,N,N,N
-63.69162891,44.78244619,50,41361,147354,2021/11/27 03:59:59+00,44.7824369,-63.69163086,GLENDALE DR,BEAVER BANK RD,Intersection - private road or access,Multiple vehicle - left turn into traffic,,,Y,N,Y,N,N,N,Y
-63.77098372,44.73399175,51,41359,147315,2021/11/27 03:59:59+00,44.73398248,-63.77098566,1841 HAMMONDS PLAINS RD,,Non-intersection,Multiple vehicle - rear end,Yes,,N,N,Y,N,N,N,N
-63.64977754,44.65272478,52,41429,147532,2021/11/27 03:59:59+00,44.65271552,-63.64977951,DUNBRACK ST,MAIN AVE,Intersection - two or more public roads,Multiple vehicle - head on,Yes,,Y,N,Y,N,N,N,Y
-63.57357554,44.64625502,53,41908,146878,2021/11/26 03:59:59+00,44.64624576,-63.57357753,BARRINGTON ST,SACKVILLE ST,Intersection - two or more public roads,,,,N,N,Y,N,N,N,Y
-63.58147989,44.69395502,54,41580,146844,2021/11/26 03:59:59+00,44.69394574,-63.58148188,HIGHWAY 111 WB EXIT 3 ON RAMP,BURNSIDE DR,Ramp,Multiple vehicle - rear end,,,N,N,N,N,N,N,N
-63.69105806,44.77379846,55,41938,146997,2021/11/26 03:59:59+00,44.77378917,-63.69106002,745 SACKVILLE DR,,Intersection - private road or access,Single vehicle - hit a moving or stationary object on road surface,Yes,,N,Y,N,N,N,N,Y
-63.58091922,44.69215739,56,41421,146840,2021/11/26 03:59:59+00,44.69214811,-63.58092121,HIGHWAY 111 EB EXIT 3 ON RAMP,BURNSIDE DR,Ramp,Multiple vehicle - rear end,,,Y,N,N,N,N,N,N
-63.53398976,44.67222102,57,41399,147001,2021/11/26 03:59:59+00,44.67221175,-63.53399176,114 WOODLAWN RD,,Intersection - two or more public roads,,,,N,Y,N,N,N,N,Y
-63.73891693,44.64960812,58,41355,147016,2021/11/26 03:59:59+00,44.64959886,-63.73891887,244 GREENWOOD AVE,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.67154141,44.73316142,59,41353,146839,2021/11/26 03:59:59+00,44.73315214,-63.67154337,16 HIGHWAY 102,,Non-intersection,Multiple vehicle - rear end,,,N,N,Y,N,N,N,N
-63.62087251,44.66586713,60,41822,154876,2021/11/26 03:59:59+00,44.66585786,-63.62087448,6374 FORRESTER ST,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.57607733,44.63146034,61,41476,146696,2021/11/26 03:59:59+00,44.63145107,-63.57607932,South Park st,South St,Intersection - two or more public roads,Multiple vehicle - one crossing path of other to the right,,,N,N,Y,N,N,N,Y
-63.48430017,44.65015245,62,41356,147027,2021/11/26 03:59:59+00,44.65014319,-63.48430219,CALDWELL RD,MILLBROOK AVE,Intersection - two or more public roads,Single vehicle - hit a moving or stationary object on road surface,,,N,N,N,N,N,N,Y
-63.62738032,44.65754931,63,41496,147825,2021/11/26 03:59:59+00,44.65754004,-63.6273823,3601 JOSEPH HOWE DR,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.70947113,44.63214097,64,41350,146786,2021/11/26 03:59:59+00,44.6321317,-63.70947308,HIGHWAY 103 WB EXIT 3 OFF RAMP,HIGHWAY 103,Non-intersection,Single vehicle - off road to the right,,,N,N,N,N,N,N,N
-63.491931,44.69798582,65,42057,149995,2021/11/26 03:59:59+00,44.69797654,-63.49193301,760 HIGHWAY 7,Highway 7,Intersection - private road or access,Multiple vehicle - rear end,,,Y,N,N,N,N,N,Y
-63.46902133,44.60708519,66,41550,147097,2021/11/26 03:59:59+00,44.60707593,-63.46902336,1922 CALDWELL RD,,Non-intersection,Multiple vehicle - hit parked vehicle,,,Y,N,N,N,N,N,N
-63.85974496,44.70077846,67,41354,146944,2021/11/26 03:59:59+00,44.70076919,-63.85974688,HAMMONDS PLAINS RD,HIGHWAY 103 EB EXIT 5 ON RAMP,Intersection - two or more public roads,Multiple vehicle - rear end,,,Y,N,Y,N,N,N,Y
-63.64206003,44.65510007,68,41913,148759,2021/11/26 03:59:59+00,44.6550908,-63.642062,38 CONVOY AVE,,Non-intersection,Multiple vehicle - hit parked vehicle,,,N,N,N,N,N,N,N
-63.61635554,44.62648774,69,41400,147019,2021/11/26 03:59:59+00,44.62647847,-63.61635752,162 HERRING COVE RD,,Intersection - two or more public roads,Multiple vehicle - rear end,,,N,N,N,N,N,N,Y
